absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bidenj__total_count,democrat__total_count,blankenshipd__total_count,constitution__total_count,carrollb__total_count,Asp__total_count,jorgensenj__total_count,libertarian__total_count,trumpd__total_count,republican__total_count,write-ins__total_count,bidenj__absentee_count,blankenshipd__absentee_count,carrollb__absentee_count,jorgensenj__absentee_count,trumpd__absentee_count,write-ins__absentee_count
all,4344,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,55115,2020-11-04T10:43:28Z,R+36,Trump +36,36.34933,republican,Shawano,43,,,43,22878,6,22878,7131,7131,33,33,17,17,250,250,15447,15447,0,0,0,0,0,0,0
unknown,15814,None,,0,100,>98% reported,edison,>98%,55117,2020-11-04T17:29:03Z,R+16,Trump +16,15.92699,republican,Sheboygan,54,,,54,66020,6,66020,27109,27109,135,135,91,91,896,896,37624,37624,330,0,0,0,0,0,0
all,11700,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,55109,2020-11-04T10:43:25Z,R+16,Trump +16,15.87274,republican,St. Croix,42,,,42,56701,6,56701,23190,23190,115,115,169,169,878,878,32190,32190,318,0,0,0,0,0,0
all,1742,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,55119,2020-11-04T11:28:42Z,R+46,Trump +46,46.45699,republican,Taylor,27,,,27,10683,6,10683,2693,2693,31,31,179,179,119,119,7656,7656,10,0,0,0,0,0,0
unknown,1841,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,55121,2020-11-04T17:28:37Z,R+17,Trump +17,16.57333,republican,Trempealeau,26,,,26,15356,6,15356,6283,6283,38,38,21,21,171,171,8828,8828,30,0,0,0,0,0,0
unknown,2379,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,55123,2020-11-04T12:24:02Z,R+5,Trump +5,4.77058,republican,Vernon,33,,,33,15910,6,15910,7457,7457,26,26,180,180,28,28,8216,8216,6,0,0,0,0,0,0
unknown,3774,Released as a separate subtotal at the end of tabulation,,0,100,>98% reported,edison,>98%,55125,2020-11-04T17:28:49Z,R+22,Trump +22,21.89334,republican,Vilas,15,,,15,15338,6,15338,5903,5903,22,22,14,14,138,138,9261,9261,0,0,0,0,0,0,0
all,15985,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,55127,2020-11-04T10:43:29Z,R+19,Trump +19,19.20713,republican,Walworth,42,,,42,57588,6,57588,22783,22783,98,98,75,75,641,641,33844,33844,294,0,0,0,0,0,0
all,1629,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,55129,2020-11-04T11:29:08Z,R+24,Trump +24,23.7682,republican,Washburn,25,,,25,10371,6,10371,3867,3867,19,19,12,12,123,123,6332,6332,36,0,0,0,0,0,0
unknown,37698,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,55131,2020-11-04T10:43:31Z,R+38,Trump +38,38.05833,republican,Washington,45,,,45,88254,6,88254,26647,26647,125,125,78,78,941,941,60235,60235,456,0,0,0,0,0,0
unknown,137354,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,55133,2020-11-04T10:43:31Z,R+21,Trump +21,20.81155,republican,Waukesha,213,,,213,267957,6,267957,103867,103867,305,305,331,331,3023,3023,159633,159633,1596,0,0,0,0,0,0
all,6316,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,55135,2020-11-04T10:43:32Z,R+32,Trump +32,31.76386,republican,Waupaca,39,,,39,29118,6,29118,9699,9699,48,48,29,29,357,357,18948,18948,74,0,0,0,0,0,0
unknown,2251,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,55137,2020-11-04T12:20:19Z,R+34,Trump +34,34.11973,republican,Waushara,26,,,26,13564,6,13564,4388,4388,29,29,18,18,113,113,9016,9016,0,0,0,0,0,0,0
unknown,37481,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,55139,2020-11-04T10:43:34Z,R+4,Trump +4,3.97205,republican,Winnebago,90,,,90,94032,6,94032,44060,44060,168,168,138,138,1629,1629,47795,47795,484,0,0,0,0,0,0
unknown,11250,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,55141,2020-11-06T20:08:41Z,R+19,Trump +19,19.29024,republican,Wood,44,,,44,41196,6,41197,16360,16360,79,79,49,49,402,402,24307,24307,0,0,0,0,0,0,0
